id,name,description,icon
3efba2b8-3c95-466e-b787-9e89a33b544a,Speedy,Awarded for lightning-fast execution,⚡
0ff9d85e-c823-4ca6-b825-11d4f5b94d3a,Strategist,Given for top-tier planning,🧠
1a2c748c-6d83-4534-9101-306e038e5b0b,Helper,Awarded for assisting peers,🤝
b0d6a4cc-b537-4e13-a1fa-1b49cfc3036b,Explorer,Explored 10+ tools,🧭
9bbf0d3f-02dc-4b6e-9e4b-6d09ff1ccfc0,Innovator,Launched a unique product,💡
49fc75f3-343b-4cb3-963e-2090e9388be0,Contributor,Posted multiple high-rated items,📬
2cfac13f-2b88-4c9f-9f79-b621c9288cdd,Socialite,Engaged with 10+ users,📢
cc1817b7-b499-41f4-bd63-9d3a10b7290f,Optimizer,Improved a product’s score by 30%,🎯
ea5029d7-a2f7-40e3-b3d5-57d5f9d31571,Achiever,Received 50+ upvotes,🏅
190eabdc-2c31-48e5-a685-80870ae66212,Visionary,Consistently forward-thinking,🔮
